customer_id,recency,frequency,monetary,R_score,F_score,M_score,rfm_score,rfm_total,segment
C00083,26,12,54887.48,4,5,4,454,13,Champions
C00084,174,7,26986.06,2,3,3,233,8,Potential Loyalist
C00085,28,3,7535.38,4,1,1,411,6,New Customers
C00086,2,16,61979.87,5,5,4,554,14,Champions
C00087,18,26,160767.45,5,5,5,555,15,Champions
C00088,18,23,134136.35,5,5,5,555,15,Champions
C00089,363,1,2996.08,1,1,1,111,3,Lost
C00090,158,3,4938.1,2,1,1,211,4,Lost
C00092,176,4,22395.82,2,2,3,223,7,Potential Loyalist
C00093,7,10,33160.17,5,4,3,543,12,Loyal Customers
C00094,3,22,104489.63,5,5,5,555,15,Champions
C00095,52,11,64330.44,3,4,5,345,12,Loyal Customers
C00096,284,5,18832.21,1,3,2,132,6,Potential Loyalist
C00097,646,1,3797.09,1,1,1,111,3,Lost
C00098,8,3,7675.61,5,1,1,511,7,New Customers
C00099,16,8,51921.86,5,4,4,544,13,Champions
C00100,384,2,2834.47,1,1,1,111,3,Lost
C00101,231,6,27182.92,1,3,3,133,7,Potential Loyalist
C00102,227,6,30527.58,1,3,3,133,7,Potential Loyalist
C00103,87,3,3140.26,2,1,1,211,4,Lost
C00104,2,8,20202.19,5,4,2,542,11,Loyal Customers
C00105,278,1,25110.86,1,1,3,113,5,Potential Loyalist
C00106,91,2,5649.42,2,1,1,211,4,Lost
C00107,640,1,3636.74,1,1,1,111,3,Lost
C00108,117,5,17533.9,2,3,2,232,7,Potential Loyalist
C00109,67,12,63817.27,3,5,5,355,13,Loyal Customers
C00110,7,4,45368.1,5,2,4,524,11,New Customers
C00111,110,9,98142.29,2,4,5,245,11,At Risk
C00112,98,8,28640.79,2,4,3,243,9,At Risk
C00114,177,2,38878.86,2,1,4,214,7,Potential Loyalist
C00115,543,1,763.2,1,1,1,111,3,Lost
C00116,16,13,37940.77,5,5,4,554,14,Champions
C00117,7,9,51515.92,5,4,4,544,13,Champions
C00118,36,8,50372.45,4,4,4,444,12,Champions
C00119,108,2,17893.5,2,1,2,212,5,Lost
C00120,155,2,13246.72,2,1,2,212,5,Lost
C00122,12,4,10088.13,5,2,1,521,8,New Customers
C00123,136,8,68234.2,2,4,5,245,11,At Risk
C00124,65,9,18980.55,3,4,2,342,9,Loyal Customers
C00125,35,13,66499.13,4,5,5,455,14,Champions
C00127,2,12,38502.42,5,5,4,554,14,Champions
C00128,40,8,26081.96,4,4,3,443,11,Loyal Customers
C00129,326,7,43005.7,1,3,4,134,8,Potential Loyalist
C00130,38,1,405.45,4,1,1,411,6,New Customers
C00131,47,14,70808.43,3,5,5,355,13,Loyal Customers
C00132,16,5,21755.63,5,3,3,533,11,Loyal Customers
C00133,369,2,14659.92,1,1,2,112,4,Lost
C00135,18,11,78922.02,5,4,5,545,14,Champions
C00136,98,14,72121.13,2,5,5,255,12,At Risk
C00137,135,5,13207.95,2,3,2,232,7,Potential Loyalist
C00138,63,9,54167.78,3,4,4,344,11,Loyal Customers
C00139,159,18,75244.84,2,5,5,255,12,At Risk
C00140,50,7,28383.92,3,3,3,333,9,Loyal Customers
C00141,205,9,57243.99,2,4,4,244,10,At Risk
C00142,136,3,5287.25,2,1,1,211,4,Lost
C00143,354,3,12890.97,1,1,2,112,4,Lost
C00144,42,6,26782.7,4,3,3,433,10,Loyal Customers
C00146,23,1,13458.14,4,1,2,412,7,New Customers
C00147,55,9,58416.68,3,4,4,344,11,Loyal Customers
C00148,40,11,54581.44,4,4,4,444,12,Champions
C00149,70,2,2053.74,3,1,1,311,5,Potential Loyalist
C00150,3,35,180466.11,5,5,5,555,15,Champions
C00151,5,9,53598.36,5,4,4,544,13,Champions
C00152,36,6,20970.02,4,3,2,432,9,Loyal Customers
C00153,125,7,53508.17,2,3,4,234,9,Potential Loyalist
C00154,14,9,37423.15,5,4,4,544,13,Champions
C00155,166,4,23760.8,2,2,3,223,7,Potential Loyalist
C00156,49,15,104114.98,3,5,5,355,13,Loyal Customers
C00157,507,2,5542.53,1,1,1,111,3,Lost
C00158,37,21,122348.08,4,5,5,455,14,Champions
C00159,38,15,75245.29,4,5,5,455,14,Champions
C00160,109,2,14145.73,2,1,2,212,5,Lost
C00161,116,10,42398.13,2,4,4,244,10,At Risk
C00162,278,4,19595.0,1,2,2,122,5,Lost
C00163,41,15,84194.31,4,5,5,455,14,Champions
C00164,169,3,32848.76,2,1,3,213,6,Potential Loyalist
C00165,32,12,61131.99,4,5,4,454,13,Champions
C00166,441,1,445.07,1,1,1,111,3,Lost
C00167,33,6,25191.01,4,3,3,433,10,Loyal Customers
C00168,224,3,20299.63,1,1,2,112,4,Lost
C00169,62,4,13702.38,3,2,2,322,7,Potential Loyalist
C00170,185,8,44509.25,2,4,4,244,10,At Risk
C00171,245,8,44290.16,1,4,4,144,9,At Risk
C00172,50,7,26971.8,3,3,3,333,9,Loyal Customers
C00173,5,7,40697.47,5,3,4,534,12,Loyal Customers
C00174,557,1,2257.65,1,1,1,111,3,Lost
C00175,184,4,48082.03,2,2,4,224,8,Potential Loyalist
C00176,104,4,22221.88,2,2,3,223,7,Potential Loyalist
C00177,26,14,65361.25,4,5,5,455,14,Champions
C00178,59,3,1948.74,3,1,1,311,5,Potential Loyalist
C00179,324,3,53476.91,1,1,4,114,6,Potential Loyalist
C00180,83,3,5283.23,2,1,1,211,4,Lost
C00181,58,5,18750.43,3,3,2,332,8,Loyal Customers
C00182,106,4,29713.04,2,2,3,223,7,Potential Loyalist
C00183,41,6,22166.47,4,3,3,433,10,Loyal Customers
C00184,59,5,18775.83,3,3,2,332,8,Loyal Customers
C00185,52,7,40468.18,3,3,4,334,10,Loyal Customers
C00186,78,12,66811.75,3,5,5,355,13,Loyal Customers
C00187,192,14,76522.05,2,5,5,255,12,At Risk
C00189,11,8,48502.78,5,4,4,544,13,Champions
C00190,203,2,5208.92,2,1,1,211,4,Lost
C00191,4,4,12557.39,5,2,2,522,9,New Customers
C00192,88,4,25926.94,2,2,3,223,7,Potential Loyalist
C00193,54,3,11724.26,3,1,2,312,6,Potential Loyalist
C00194,259,2,9979.2,1,1,1,111,3,Lost
C00195,81,2,2380.18,3,1,1,311,5,Potential Loyalist
C00196,28,16,79776.39,4,5,5,455,14,Champions
C00197,30,14,60487.86,4,5,4,454,13,Champions
C00198,312,4,17268.25,1,2,2,122,5,Lost
C00199,33,2,8762.99,4,1,1,411,6,New Customers
C00200,173,3,6740.11,2,1,1,211,4,Lost
C00201,267,2,7141.52,1,1,1,111,3,Lost
C00202,15,7,32230.2,5,3,3,533,11,Loyal Customers
C00203,28,3,7222.0,4,1,1,411,6,New Customers
C00204,164,3,8714.16,2,2,1,221,5,Lost
C00207,21,10,25412.64,4,4,3,443,11,Loyal Customers
C00208,321,1,7183.26,1,1,1,111,3,Lost
C00210,140,3,15761.44,2,2,2,222,6,Lost
C00211,39,5,10625.85,4,3,2,432,9,Loyal Customers
C00212,45,6,22502.3,3,3,3,333,9,Loyal Customers
C00213,446,1,4970.71,1,1,1,111,3,Lost
C00214,18,5,14377.66,5,3,2,532,10,Loyal Customers
C00215,22,10,71359.58,4,4,5,445,13,Champions
C00216,36,4,16180.7,4,2,2,422,8,New Customers
C00217,214,3,12827.86,2,2,2,222,6,Lost
C00218,320,2,13648.32,1,1,2,112,4,Lost
C00219,13,11,57134.44,5,4,4,544,13,Champions
C00220,22,5,13246.19,4,3,2,432,9,Loyal Customers
C00221,34,14,62437.82,4,5,5,455,14,Champions
C00222,87,4,22897.31,2,2,3,223,7,Potential Loyalist
C00223,5,15,64974.25,5,5,5,555,15,Champions
C00224,7,22,123362.29,5,5,5,555,15,Champions
C00225,188,1,25110.86,2,1,3,213,6,Potential Loyalist
C00226,2,21,138102.22,5,5,5,555,15,Champions
C00227,676,1,1860.78,1,1,1,111,3,Lost
C00228,51,1,766.11,3,1,1,311,5,Potential Loyalist
C00229,106,5,28520.58,2,3,3,233,8,Potential Loyalist
C00230,70,6,13009.13,3,3,2,332,8,Loyal Customers
C00231,34,15,98709.94,4,5,5,455,14,Champions
C00232,421,1,3679.49,1,1,1,111,3,Lost
C00233,33,11,56313.11,4,4,4,444,12,Champions
C00234,323,3,12999.38,1,2,2,122,5,Lost
C00235,36,13,36274.82,4,5,3,453,12,Loyal Customers
C00236,244,3,15318.25,1,2,2,122,5,Lost
C00237,139,5,23469.24,2,3,3,233,8,Potential Loyalist
C00238,127,2,1861.84,2,1,1,211,4,Lost
C00239,130,9,48871.33,2,4,4,244,10,At Risk
C00240,8,14,72113.2,5,5,5,555,15,Champions
C00241,21,27,128972.74,4,5,5,455,14,Champions
C00243,111,11,69057.34,2,4,5,245,11,At Risk
C00244,287,3,16371.8,1,2,2,122,5,Lost
C00245,78,3,19948.1,3,2,2,322,7,Potential Loyalist
C00246,307,4,29351.7,1,2,3,123,6,Potential Loyalist
C00247,17,4,50478.58,5,2,4,524,11,New Customers
C00248,127,8,44951.31,2,4,4,244,10,At Risk
C00249,36,9,44016.44,4,4,4,444,12,Champions
C00251,2,7,23659.73,5,3,3,533,11,Loyal Customers
C00252,20,4,18430.05,4,2,2,422,8,New Customers
C00253,61,2,14003.35,3,1,2,312,6,Potential Loyalist
C00254,480,3,10484.43,1,2,2,122,5,Lost
C00255,112,8,31416.18,2,4,3,243,9,At Risk
C00257,92,5,25399.99,2,3,3,233,8,Potential Loyalist
C00258,46,11,46735.77,3,4,4,344,11,Loyal Customers
C00259,578,1,2296.61,1,1,1,111,3,Lost
C00261,21,3,4975.9,4,2,1,421,7,New Customers
C00262,5,25,135182.39,5,5,5,555,15,Champions
C00263,18,10,19393.9,5,4,2,542,11,Loyal Customers
C00265,86,3,31483.24,2,2,3,223,7,Potential Loyalist
C00266,119,1,10262.53,2,1,2,212,5,Lost
C00268,43,5,38259.33,4,3,4,434,11,Loyal Customers
C00269,54,5,73021.3,3,3,5,335,11,Loyal Customers
C00270,53,15,119526.37,3,5,5,355,13,Loyal Customers
C00271,329,2,5600.89,1,1,1,111,3,Lost
C00272,1,7,27385.25,5,3,3,533,11,Loyal Customers
C00273,54,7,20411.57,3,3,2,332,8,Loyal Customers
C00274,23,15,99164.81,4,5,5,455,14,Champions
C00275,73,12,85099.17,3,5,5,355,13,Loyal Customers
C00276,47,9,44410.46,3,4,4,344,11,Loyal Customers
C00277,97,6,26773.22,2,3,3,233,8,Potential Loyalist
C00278,40,14,90528.39,4,5,5,455,14,Champions
C00279,405,1,8983.67,1,1,1,111,3,Lost
C00280,26,4,15745.09,4,2,2,422,8,New Customers
C00281,64,12,54947.96,3,5,4,354,12,Loyal Customers
C00282,262,4,15020.21,1,2,2,122,5,Lost
C00283,108,1,1517.39,2,1,1,211,4,Lost
C00284,357,6,18894.13,1,3,2,132,6,Potential Loyalist
C00285,33,40,198850.7,4,5,5,455,14,Champions
C00286,40,10,32843.76,4,4,3,443,11,Loyal Customers
C00287,4,5,57091.51,5,3,4,534,12,Loyal Customers
C00288,205,1,2417.48,2,1,1,211,4,Lost
C00289,236,1,3214.96,1,1,1,111,3,Lost
C00290,190,4,56230.85,2,2,4,224,8,Potential Loyalist
C00291,224,5,20306.49,1,3,2,132,6,Potential Loyalist
C00293,142,3,23022.59,2,2,3,223,7,Potential Loyalist
C00294,42,8,56012.42,4,4,4,444,12,Champions
C00295,376,4,21707.22,1,2,3,123,6,Potential Loyalist
C00296,2,24,156900.47,5,5,5,555,15,Champions
C00297,290,9,62644.23,1,4,5,145,10,At Risk
C00298,88,1,1335.21,2,1,1,211,4,Lost
C00299,102,17,93690.21,2,5,5,255,12,At Risk
C00300,60,9,45927.19,3,4,4,344,11,Loyal Customers
C00301,36,2,2727.21,4,1,1,411,6,New Customers
C00302,79,2,8296.36,3,1,1,311,5,Potential Loyalist
C00303,11,24,90304.24,5,5,5,555,15,Champions
C00304,13,5,21800.36,5,3,3,533,11,Loyal Customers
C00305,48,15,73279.83,3,5,5,355,13,Loyal Customers
C00306,389,4,15228.03,1,2,2,122,5,Lost
C00308,33,17,67477.03,4,5,5,455,14,Champions
C00309,224,3,14459.46,1,2,2,122,5,Lost
C00310,80,1,3907.9,3,1,1,311,5,Potential Loyalist
C00311,74,4,30836.54,3,2,3,323,8,Potential Loyalist
C00312,10,6,57519.67,5,3,4,534,12,Loyal Customers
C00313,38,3,7605.05,4,2,1,421,7,New Customers
C00314,316,2,9047.28,1,1,1,111,3,Lost
C00315,343,2,6212.11,1,1,1,111,3,Lost
C00316,13,4,15642.79,5,2,2,522,9,New Customers
C00318,6,2,48857.91,5,1,4,514,10,New Customers
C00319,282,3,6010.21,1,2,1,121,4,Lost
C00320,80,8,21673.05,3,4,2,342,9,Loyal Customers
C00321,46,11,87148.54,3,4,5,345,12,Loyal Customers
C00322,302,5,22182.87,1,3,3,133,7,Potential Loyalist
C00323,4,7,38617.7,5,3,4,534,12,Loyal Customers
C00324,40,4,2969.44,4,2,1,421,7,New Customers
C00325,79,8,40318.64,3,4,4,344,11,Loyal Customers
C00326,12,15,88397.84,5,5,5,555,15,Champions
C00327,102,9,50482.25,2,4,4,244,10,At Risk
C00328,54,15,105320.91,3,5,5,355,13,Loyal Customers
C00329,24,25,122863.57,4,5,5,455,14,Champions
C00330,100,5,17674.9,2,3,2,232,7,Potential Loyalist
C00331,71,3,17224.59,3,2,2,322,7,Potential Loyalist
C00332,170,7,33403.03,2,3,3,233,8,Potential Loyalist
C00333,6,16,96924.49,5,5,5,555,15,Champions
C00334,125,4,3933.51,2,2,1,221,5,Lost
C00335,6,34,183704.12,5,5,5,555,15,Champions
C00336,407,3,10174.88,1,2,1,121,4,Lost
C00337,42,3,5588.71,4,2,1,421,7,New Customers
C00338,19,4,17277.24,5,2,2,522,9,New Customers
C00340,638,1,2292.18,1,1,1,111,3,Lost
C00341,23,14,77407.18,4,5,5,455,14,Champions
C00342,41,22,103344.5,4,5,5,455,14,Champions
C00343,87,10,73873.12,2,4,5,245,11,At Risk
C00344,6,7,28504.0,5,3,3,533,11,Loyal Customers
C00345,33,4,8767.55,4,2,1,421,7,New Customers
C00346,397,2,3316.86,1,1,1,111,3,Lost
C00347,530,2,4056.78,1,1,1,111,3,Lost
C00348,453,3,9132.89,1,2,1,121,4,Lost
C00349,1,12,60805.62,5,5,4,554,14,Champions
C00350,71,6,19637.41,3,3,2,332,8,Loyal Customers
C00351,55,3,11465.57,3,2,2,322,7,Potential Loyalist
C00352,29,8,40850.97,4,4,4,444,12,Champions
C00353,223,2,13350.08,1,1,2,112,4,Lost
C00354,20,4,36578.83,4,2,3,423,9,New Customers
C00355,56,8,41544.92,3,4,4,344,11,Loyal Customers
C00356,175,1,1529.16,2,1,1,211,4,Lost
C00357,357,3,4154.05,1,2,1,121,4,Lost
C00358,31,6,50248.9,4,3,4,434,11,Loyal Customers
C00359,31,7,38537.92,4,3,4,434,11,Loyal Customers
C00360,187,4,42423.66,2,2,4,224,8,Potential Loyalist
C00361,298,3,5165.08,1,2,1,121,4,Lost
C00362,186,3,4666.72,2,2,1,221,5,Lost
C00363,41,2,4151.78,4,1,1,411,6,New Customers
C00364,28,9,31979.21,4,4,3,443,11,Loyal Customers
C00365,154,4,29748.06,2,2,3,223,7,Potential Loyalist
C00366,71,16,89196.99,3,5,5,355,13,Loyal Customers
C00367,1,12,68394.9,5,5,5,555,15,Champions
C00368,175,3,41925.19,2,2,4,224,8,Potential Loyalist
C00369,51,10,46177.1,3,4,4,344,11,Loyal Customers
C00370,211,6,40815.52,2,3,4,234,9,Potential Loyalist
C00371,17,13,46695.69,5,5,4,554,14,Champions
C00372,66,3,11144.61,3,2,2,322,7,Potential Loyalist
C00374,316,6,13960.76,1,3,2,132,6,Potential Loyalist
C00375,26,11,39846.36,4,4,4,444,12,Champions
C00376,250,4,24745.56,1,2,3,123,6,Potential Loyalist
C00377,512,2,3946.31,1,1,1,111,3,Lost
C00378,185,10,23228.27,2,4,3,243,9,At Risk
C00379,187,2,3388.41,2,1,1,211,4,Lost
C00380,10,20,104017.97,5,5,5,555,15,Champions
C00381,23,3,15485.66,4,2,2,422,8,New Customers
C00382,722,1,16288.35,1,1,2,112,4,Lost
C00383,175,2,2318.75,2,1,1,211,4,Lost
C00384,40,13,61099.55,4,5,4,454,13,Champions
C00385,84,2,13026.82,2,1,2,212,5,Lost
C00386,2,9,36297.81,5,4,3,543,12,Loyal Customers
C00387,33,16,79857.41,4,5,5,455,14,Champions
C00388,32,23,130610.35,4,5,5,455,14,Champions
C00389,2,4,18916.48,5,2,2,522,9,New Customers
C00390,93,9,48131.88,2,4,4,244,10,At Risk
C00391,238,5,26381.04,1,3,3,133,7,Potential Loyalist
C00392,213,2,2693.16,2,1,1,211,4,Lost
C00393,76,2,3816.55,3,1,1,311,5,Potential Loyalist
C00394,55,4,19929.31,3,2,2,322,7,Potential Loyalist
C00396,87,3,23092.26,2,2,3,223,7,Potential Loyalist
C00397,44,2,18761.99,3,1,2,312,6,Potential Loyalist
C00400,156,2,9262.08,2,1,1,211,4,Lost
C00401,1,17,86531.99,5,5,5,555,15,Champions
C00402,10,6,24429.11,5,3,3,533,11,Loyal Customers
C00403,40,8,69613.94,4,4,5,445,13,Champions
C00404,52,13,44254.83,3,5,4,354,12,Loyal Customers
C00405,92,6,17289.45,2,3,2,232,7,Potential Loyalist
C00406,13,27,135340.18,5,5,5,555,15,Champions
C00407,37,6,26441.61,4,3,3,433,10,Loyal Customers
C00408,56,11,54932.15,3,4,4,344,11,Loyal Customers
C00409,372,5,24351.51,1,3,3,133,7,Potential Loyalist
C00410,5,5,20272.11,5,3,2,532,10,Loyal Customers
C00411,348,1,766.11,1,1,1,111,3,Lost
C00412,181,1,14483.92,2,1,2,212,5,Lost
C00413,27,4,26513.12,4,2,3,423,9,New Customers
C00414,407,1,3034.78,1,1,1,111,3,Lost
C00415,160,3,18156.85,2,2,2,222,6,Lost
C00416,177,3,9526.57,2,2,1,221,5,Lost
C00417,22,8,38285.06,4,4,4,444,12,Champions
C00418,576,1,5674.84,1,1,1,111,3,Lost
C00419,100,6,21400.71,2,3,2,232,7,Potential Loyalist
C00420,86,6,50687.54,2,3,4,234,9,Potential Loyalist
C00421,49,10,40683.34,3,4,4,344,11,Loyal Customers
C00422,2,31,189760.67,5,5,5,555,15,Champions
C00423,11,13,66837.16,5,5,5,555,15,Champions
C00424,72,4,6062.24,3,2,1,321,6,Potential Loyalist
C00425,11,21,114777.34,5,5,5,555,15,Champions
C00426,25,9,35997.26,4,4,3,443,11,Loyal Customers
C00427,16,8,30342.22,5,4,3,543,12,Loyal Customers
C00429,255,1,668.87,1,1,1,111,3,Lost
C00430,37,9,35026.53,4,4,3,443,11,Loyal Customers
C00431,320,5,14567.71,1,3,2,132,6,Potential Loyalist
C00432,71,18,84397.9,3,5,5,355,13,Loyal Customers
C00433,76,9,98885.11,3,4,5,345,12,Loyal Customers
C00434,40,16,63031.54,4,5,5,455,14,Champions
C00435,46,3,11204.18,3,2,2,322,7,Potential Loyalist
C00436,632,1,2417.48,1,1,1,111,3,Lost
C00437,42,12,54006.28,4,5,4,454,13,Champions
C00438,20,10,36509.7,4,4,3,443,11,Loyal Customers
C00439,32,8,39042.19,4,4,4,444,12,Champions
C00440,328,1,1677.56,1,1,1,111,3,Lost
C00441,371,3,25804.4,1,2,3,123,6,Potential Loyalist
C00442,34,9,62584.32,4,4,5,445,13,Champions
C00443,184,3,13807.42,2,2,2,222,6,Lost
C00444,180,14,73979.43,2,5,5,255,12,At Risk
C00445,317,3,6926.77,1,2,1,121,4,Lost
C00446,14,10,45291.16,5,4,4,544,13,Champions
C00447,146,4,13758.36,2,2,2,222,6,Lost
C00448,167,8,43913.5,2,4,4,244,10,At Risk
C00449,13,10,48547.11,5,4,4,544,13,Champions
C00451,40,17,82931.34,4,5,5,455,14,Champions
C00452,283,1,6082.58,1,1,1,111,3,Lost
C00453,141,7,44325.23,2,3,4,234,9,Potential Loyalist
C00454,2,5,24710.73,5,3,3,533,11,Loyal Customers
C00456,138,13,69377.62,2,5,5,255,12,At Risk
C00457,33,14,46307.84,4,5,4,454,13,Champions
C00458,127,3,6652.53,2,2,1,221,5,Lost
C00459,22,9,30026.78,4,4,3,443,11,Loyal Customers
C00460,310,4,22806.38,1,2,3,123,6,Potential Loyalist
C00461,42,17,82201.02,4,5,5,455,14,Champions
C00463,66,10,32542.78,3,4,3,343,10,Loyal Customers
C00464,30,8,52462.63,4,4,4,444,12,Champions
C00465,161,3,27953.09,2,2,3,223,7,Potential Loyalist
C00466,259,2,7565.76,1,1,1,111,3,Lost
C00467,530,2,43556.98,1,1,4,114,6,Potential Loyalist
C00468,9,8,53049.47,5,4,4,544,13,Champions
C00469,10,46,211579.65,5,5,5,555,15,Champions
C00470,25,11,37462.36,4,4,4,444,12,Champions
C00471,246,2,26088.51,1,1,3,113,5,Potential Loyalist
C00472,46,2,7866.68,3,1,1,311,5,Potential Loyalist
C00473,3,10,52407.47,5,4,4,544,13,Champions
C00475,16,4,27493.32,5,2,3,523,10,New Customers
C00476,11,6,22548.95,5,3,3,533,11,Loyal Customers
C00477,48,11,89456.14,3,4,5,345,12,Loyal Customers
C00478,17,10,45348.58,5,4,4,544,13,Champions
C00479,50,6,14567.49,3,3,2,332,8,Loyal Customers
C00480,247,3,5498.99,1,2,1,121,4,Lost
C00481,45,3,6737.74,3,2,1,321,6,Potential Loyalist
C00482,600,3,12670.98,1,2,2,122,5,Lost
C00483,216,2,7852.13,1,1,1,111,3,Lost
C00484,319,3,7532.45,1,2,1,121,4,Lost
C00485,25,4,17073.51,4,2,2,422,8,New Customers
C00486,9,11,73414.65,5,4,5,545,14,Champions
C00487,141,3,8916.78,2,2,1,221,5,Lost
C00488,72,7,23696.28,3,3,3,333,9,Loyal Customers
C00489,66,3,4190.34,3,2,1,321,6,Potential Loyalist
C00490,258,1,378.31,1,1,1,111,3,Lost
C00492,55,7,29993.02,3,3,3,333,9,Loyal Customers
C00493,44,4,19027.37,3,2,2,322,7,Potential Loyalist
C00494,137,6,59105.16,2,3,4,234,9,Potential Loyalist
C00495,6,23,80475.7,5,5,5,555,15,Champions
C00496,6,19,87110.97,5,5,5,555,15,Champions
C00497,56,7,23730.28,3,3,3,333,9,Loyal Customers
C00498,133,1,5975.13,2,1,1,211,4,Lost
C00500,44,16,106750.46,3,5,5,355,13,Loyal Customers
C00502,167,2,9499.15,2,1,1,211,4,Lost
C00503,37,6,11596.99,4,3,2,432,9,Loyal Customers
C00504,11,28,179792.83,5,5,5,555,15,Champions
C00505,75,5,33570.38,3,3,3,333,9,Loyal Customers
C00506,328,3,25153.92,1,2,3,123,6,Potential Loyalist
C00507,93,6,13763.68,2,3,2,232,7,Potential Loyalist
C00508,422,1,1839.38,1,1,1,111,3,Lost
C00509,20,11,92432.26,4,4,5,445,13,Champions
C00510,60,5,29227.85,3,3,3,333,9,Loyal Customers
C00511,498,1,585.14,1,1,1,111,3,Lost
C00512,194,2,2436.61,2,1,1,211,4,Lost
C00513,16,5,25868.32,5,3,3,533,11,Loyal Customers
C00514,45,11,69363.08,3,4,5,345,12,Loyal Customers
C00515,43,3,7778.84,4,2,1,421,7,New Customers
C00517,160,5,17152.87,2,3,2,232,7,Potential Loyalist
